Date,Day,Name of place,Location (approximate),Details,Source url,Image url,Icon 1,lon,lat,
17/11/2012,Saturday,Jabaliya,"31.5298, 34.4794",25 Palestinians wounded in aerial assault on a house of a top Hamas military official near Jabaliya in northern Gaza,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.5298,34.4794,
17/11/2012,Saturday,Gaza City,,Israel Air Force strikes the office building of Gaza Prime Minister Ismail Haniyeh,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,,,
17/11/2012,Saturday,Rafah,"31.2937, 34.2475",Four Hamas militants were killed Saturday morning in Rafah,http://www.nytimes.com/2012/11/18/world/middleeast/israel-gaza-conflict.html?pagewanted=all,,placemark_circle_highlight,31.2937,34.2475,
17/11/2012,Saturday,Al Maghazi refugee camp,"31.4210, 34.3854",Three Hamas militants were killed Saturday morning in the Al Maghazi refugee camp,http://www.nytimes.com/2012/11/18/world/middleeast/israel-gaza-conflict.html?pagewanted=all,,placemark_circle_highlight,31421,34.3854,
17/11/2012,Saturday,Jabaliya,"31.5298, 34.4794",House of a member of Hamas security forces was hit,https://twitter.com/JonDonnison/status/269771312791162880,https://twitter.com/JonDonnison/status/269771312791162880/photo/1,placemark_circle_highlight,31.5298,34.4794,
17/11/2012,Saturday,Twam,"31.5183, 34.4300",Attack was on farming land in Twam area north of Gaza,https://twitter.com/MajedAbusalama/status/269729267670204416,,placemark_circle_highlight,31.5183,34.43,
17/11/2012,Saturday,Al-Atatra neighbouhood,"31.5603, 34.4874",Airstrike,http://soundcloud.com/emilie-baujard/airstrike-on-al-atatra,,placemark_circle_highlight,31.5603,34.4874,
17/11/2012,Saturday,Gaza City Stadium,"31.52198, 34.45119",A massive explosion rocked the Gaza City soccer stadium this morning,http://www.cbsnews.com/8301-33816_162-57551464/israel-launches-scores-of-airstrikes-into-gaza/,,placemark_circle_highlight,31.52198,34.45119,
17/11/2012,Saturday,Bnei Shimon,"31.348946, 34.740829",Rocket explodes in open field at the Bnei Shimon Regional council,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.348946,34.740829,
18/11/2012,Sunday,Ofakim,"31.3138, 34.624","Two Israelis moderately to seriously wounded in the rocket attack on Ofakim, three others lightly hurt",http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31.3138,34624,
11/19/12,Monday,Eshkol,"31.214, 34.463 ",11 rockets have struck the Eshkol Regional Council,http://www.haaretz.com/news/diplomacy-defense/rocket-fire-on-south-resumes-idf-gaza-death-toll-reaches-95-1.478922,,placemark_circle_highlight,31214,34463,
11/19/12,Monday,Sha'ar Hanegev,"31.512, 34.632 ",Rocket hits,http://www.haaretz.com/news/diplomacy-defense/rocket-fire-on-south-resumes-idf-gaza-death-toll-reaches-95-1.478922,,placemark_circle_highlight,31512,34632,
